x,y,z,tonnage,grade,economic_value
0,0,0,1000,0.1017,-14913.57
0,0,1,1000,0.1115,-14423.35
0,0,2,1000,0.1296,-13520.62
0,0,3,1000,0.1329,-13354.14
0,0,4,1000,0.125,-13751.04
0,0,5,1000,0.1296,-13520.83
0,0,6,1000,0.1561,-12193.39
0,0,7,1000,0.1805,-10973.3
0,0,8,1000,0.1977,-10115.32
0,0,9,1000,0.1881,-10596.9
0,0,10,1000,0.1806,-10971.43
0,0,11,1000,0.1954,-10229.94
0,0,12,1000,0.201,-9950.62
0,0,13,1000,0.1807,-10964.04
0,0,14,1000,0.1666,-11669.17
0,0,15,1000,0.1789,-11055.7
0,0,16,1000,0.1847,-10763.14
0,0,17,1000,0.1812,-10939.48
0,0,18,1000,0.1689,-11554.13
0,0,19,1000,0.1598,-12011.24
0,0,20,1000,0.1463,-12687.38
0,0,21,1000,0.1351,-13243.75
0,0,22,1000,0.132,-13401.74
0,0,23,1000,0.1273,-13632.62
0,0,24,1000,0.1145,-14275.63
0,1,0,1000,0.1055,-14726.02
0,1,1,1000,0.1182,-14089.66
0,1,2,1000,0.1397,-13016.93
0,1,3,1000,0.1475,-12624.57
0,1,4,1000,0.1457,-12715.31
0,1,5,1000,0.1554,-12231.97
0,1,6,1000,0.1809,-10953.06
0,1,7,1000,0.2014,-9932.45
0,1,8,1000,0.206,-9698.44
0,1,9,1000,0.1908,-10459.31
0,1,10,1000,0.1861,-10695.18
0,1,11,1000,0.2074,-9627.75
0,1,12,1000,0.2168,-9161.18
0,1,13,1000,0.1968,-10157.57
0,1,14,1000,0.1903,-10485.93
0,1,15,1000,0.2111,-9445.16
0,1,16,1000,0.2172,-9137.99
0,1,17,1000,0.2136,-9319.83
0,1,18,1000,0.1995,-10027.16
0,1,19,1000,0.1868,-10658.39
0,1,20,1000,0.1751,-11243.61
0,1,21,1000,0.1692,-11541.24
0,1,22,1000,0.164,-11797.78
0,1,23,1000,0.1536,-12322.42
0,1,24,1000,0.1332,-13340.58
0,2,0,1000,0.1247,-13765.29
0,2,1,1000,0.1412,-12939.76
0,2,2,1000,0.1527,-12366.25
0,2,3,1000,0.1656,-11722.32
0,2,4,1000,0.181,-10947.87
0,2,5,1000,0.1877,-10617.25
0,2,6,1000,0.1904,-10478.22
0,2,7,1000,0.1961,-10192.67
0,2,8,1000,0.1968,-10160.5
0,2,9,1000,0.1985,-10077.45
0,2,10,1000,0.2049,-9755.62
0,2,11,1000,0.2251,-8747.43
0,2,12,1000,0.2277,-8615.52
0,2,13,1000,0.2116,-9417.53
0,2,14,1000,0.2153,-9233.33
0,2,15,1000,0.2413,-7932.67
0,2,16,1000,0.2457,-7716.69
0,2,17,1000,0.2422,-7889.82
0,2,18,1000,0.2243,-8782.88
0,2,19,1000,0.2042,-9790.23
0,2,20,1000,0.1923,-10385.4
